Part_ID,Part_Name,Part_Category,Brand,Truck_Model,Price,Stock_Quantity,Supplier,Warehouse_Location,Delivery_Time_Days,Warranty_Period_Months,Order_Date,Monthly_Sales,Revenue,time_index
P0086,Exhaust Manifold,Exhaust,MAN,Volvo FH,180.44,302,BlueLine Logistics,Rotterdam,6,12,2023-05-16,402,72536.88,44
P0110,Injector Pump,Fuel System,Hella,MAN TGX,376.65,56,GlobalParts Ltd,Kyiv,10,12,2023-05-21,391,147270.15,45
P0144,Torsion Bar,Suspension,MAN,Iveco Stralis,233.69,370,NordicAuto GmbH,Kyiv,4,12,2023-05-23,121,28276.49,46
P0131,Alternator - HD,Electrical,ZF,Mercedes Actros,727.57,511,NordicAuto GmbH,Hamburg,17,12,2023-05-28,149,108407.93,47
P0104,Injector Pump,Fuel System,MAN,MAN TGX,1259.55,319,BlueLine Logistics,Warsaw,19,12,2023-06-08,336,423208.8,48
P0020,Water Pump,Engine,Knorr-Bremse,Scania R,3248.69,465,CentralFleet Co,Rotterdam,18,36,2023-06-08,97,315122.93,49
P0173,Battery - Heavy-Duty,Electrical,Volvo,MAN TGX,307.53,241,GlobalParts Ltd,Warsaw,15,24,2023-06-13,207,63658.71,50
P0126,Brake Caliper,Brakes,Volvo,Mercedes Actros,559.4,288,Transline Distributors,Lviv,17,36,2023-06-15,418,233829.2,51
P0170,Muffler,Exhaust,Iveco,Volvo FH,1534.89,479,CentralFleet Co,Kyiv,4,24,2023-06-16,374,574048.86,52
P0049,Cylinder Head Gasket - HD,Engine,Volvo,Volvo FH,1173.94,117,PrimeTruck Traders,Milan,9,24,2023-06-21,310,363921.4,53
P0168,DPF (cleaning unit),Exhaust,Mercedes,Scania R,591.68,60,EuroTruck Supply,Budapest,8,6,2023-06-29,213,126027.84,54
P0196,Turbocharger,Engine,Knorr-Bremse,MAN TGX,137.2,281,NordicAuto GmbH,Gdansk,1,36,2023-07-03,54,7408.8,55
P0054,Output Shaft Seal,Transmission,ZF,Renault T,1369.89,388,BlueLine Logistics,Hamburg,16,24,2023-07-06,249,341102.61,56
P0153,Exhaust Manifold - Pro,Exhaust,MANN,MAN TGX,172.82,428,PrimeTruck Traders,Prague,11,24,2023-07-14,390,67399.8,57
P0016,295/80R22.5 Tire,Tires,Hella,Iveco Stralis,524.96,584,Continental Supply,Kyiv,16,36,2023-07-14,48,25198.08,58
P0161,Fuel Pressure Regulator,Fuel System,Volvo,Mercedes Actros,238.26,389,Atlas Parts,Kyiv,2,6,2023-07-15,9,2144.34,59
P0220,Cabin Filter - Pro,Filters,ZF,Scania R,148.74,104,NordicAuto GmbH,Prague,12,24,2023-07-21,234,34805.16,60
P0050,Hydraulic Pump,Hydraulics,MANN,Scania R,312.95,26,CentralFleet Co,Budapest,13,36,2023-07-23,38,11892.1,61
P0200,Tail Light,Lighting,Bosch,MAN TGX,296.34,556,GlobalParts Ltd,Prague,11,6,2023-08-01,300,88902.0,62
P0037,Separator Filter,Filters,MANN,DAF XF,87.52,415,NordicAuto GmbH,Hamburg,10,24,2023-08-04,220,19254.4,63
P0189,Accumulator - HD,Hydraulics,ZF,Renault T,2953.61,490,PrimeTruck Traders,Brno,10,6,2023-08-05,479,1414779.19,64
P0199,Turbocharger,Engine,Brembo,Mercedes Actros,3450.04,339,EuroTruck Supply,Lviv,2,12,2023-08-05,461,1590468.44,65
P0154,Stabilizer Link,Suspension,Continental,Mercedes Actros,1190.14,92,Transline Distributors,Lviv,15,12,2023-08-09,298,354661.72,66
P0056,Fog Light,Lighting,Mercedes,Volvo FH,279.34,502,Continental Supply,Hamburg,3,24,2023-08-15,207,57823.38,67
P0203,Transmission Oil Cooler,Transmission,Volvo,DAF XF,1021.92,334,GlobalParts Ltd,Gdansk,15,36,2023-08-22,182,185989.44,68
P0181,Intercooler,Cooling,ZF,Renault T,45.33,305,Continental Supply,Lviv,14,36,2023-08-24,126,5711.58,69
P0012,Hydraulic Cylinder - Pro,Hydraulics,Michelin,Renault T,3762.95,500,GlobalParts Ltd,Warsaw,12,24,2023-09-03,29,109125.55,70
P0063,Tire Pressure Sensor,Electrical,Volvo,Iveco Stralis,102.82,212,PrimeTruck Traders,Gdansk,3,12,2023-09-03,88,9048.16,71
P0187,LED Work Light,Lighting,Iveco,MAN TGX,229.33,426,NordicAuto GmbH,Lviv,5,36,2023-09-06,130,29812.9,72
P0166,Catalytic Converter,Exhaust,ZF,Volvo FH,1595.0,575,CentralFleet Co,Prague,4,12,2023-09-06,25,39875.0,73
P0053,Fuel Line,Fuel System,Iveco,DAF XF,1011.54,476,Transline Distributors,Budapest,9,24,2023-09-09,425,429904.5,74
P0208,Leaf Spring - Eco,Suspension,Continental,Volvo FH,115.32,431,CentralFleet Co,Milan,3,24,2023-09-15,483,55699.56,75
P0034,Starter Motor - Standard,Electrical,Valeo,Iveco Stralis,710.99,446,NordicAuto GmbH,Warsaw,13,12,2023-09-18,22,15641.78,76
P0013,ABS Sensor,Brakes,Brembo,Iveco Stralis,598.51,545,Atlas Parts,Prague,16,12,2023-09-29,270,161597.7,77
P0160,Voltage Regulator,Electrical,Valeo,Scania R,611.32,426,CentralFleet Co,Hamburg,20,36,2023-09-29,495,302603.4,78
P0204,Coolant Hose,Cooling,Scania,DAF XF,1004.58,87,CentralFleet Co,Kyiv,3,6,2023-10-02,78,78357.24,79
P0026,Fuel Pump,Fuel System,Michelin,Scania R,1244.05,137,CentralFleet Co,Warsaw,4,12,2023-10-06,144,179143.2,80
P0027,Hydraulic Cylinder,Hydraulics,ZF,Iveco Stralis,1646.03,500,CentralFleet Co,Hamburg,3,36,2023-10-11,22,36212.66,81
P0068,Brake Drum,Brakes,Volvo,DAF XF,1141.44,275,GlobalParts Ltd,Prague,16,36,2023-10-12,92,105012.48,82
P0190,Brake Drum - Standard,Brakes,Iveco,Volvo FH,837.8,209,Transline Distributors,Kyiv,18,24,2023-10-17,194,162533.2,83
P0120,Voltage Regulator,Electrical,Valeo,Iveco Stralis,544.13,342,EuroTruck Supply,Brno,4,36,2023-10-18,129,70192.77,84
P0127,Parking Brake Cable,Brakes,DAF,Scania R,72.09,492,BlueLine Logistics,Lviv,4,6,2023-10-19,42,3027.78,85
P0082,Hydraulic Filter,Filters,Continental,DAF XF,28.72,260,Continental Supply,Gdansk,1,36,2023-10-22,346,9937.12,86
P0164,Brake Pad Set - Eco,Brakes,ZF,Scania R,1091.18,500,BlueLine Logistics,Milan,12,24,2023-10-22,62,67653.16,87
P0143,Torsion Bar,Suspension,Brembo,Renault T,1002.85,327,BlueLine Logistics,Warsaw,18,24,2023-11-04,435,436239.75,88
P0186,Hydraulic Filter - Standard,Filters,Knorr-Bremse,Volvo FH,48.48,188,NordicAuto GmbH,Milan,8,12,2023-11-04,439,21282.72,89
P0147,Cooling Fan - Premium,Cooling,Scania,DAF XF,483.4,443,NordicAuto GmbH,Hamburg,4,12,2023-11-08,84,40605.6,90
P0057,LED Work Light - Premium,Lighting,Valeo,Mercedes Actros,279.84,563,BlueLine Logistics,Brno,15,24,2023-11-10,128,35819.52,91
P0085,Catalytic Converter,Exhaust,ZF,DAF XF,1526.69,194,CentralFleet Co,Prague,4,6,2023-11-13,403,615256.07,92
P0145,Exhaust Manifold,Exhaust,Volvo,Scania R,851.98,564,Atlas Parts,Budapest,3,6,2023-11-13,203,172951.94,93
P0072,Cylinder Head Gasket - Pro,Engine,Iveco,Scania R,2263.43,124,GlobalParts Ltd,Budapest,8,12,2023-11-15,282,638287.26,94
P0076,Thermostat,Cooling,Iveco,Scania R,1309.62,244,Transline Distributors,Kyiv,14,6,2023-11-22,381,498965.22,95
P0152,DPF (cleaning unit) - Premium,Exhaust,MANN,Scania R,1903.93,353,Transline Distributors,Prague,12,6,2023-11-23,123,234183.39,96
P0032,Exhaust Pipe - Standard,Exhaust,Valeo,Scania R,1480.55,233,PrimeTruck Traders,Hamburg,7,36,2023-12-03,142,210238.1,97
P0192,Oil Filter,Filters,ZF,Iveco Stralis,27.87,598,Transline Distributors,Gdansk,5,12,2023-12-04,117,3260.79,98
P0209,Brake Drum,Brakes,Volvo,DAF XF,242.7,109,Atlas Parts,Gdansk,1,36,2023-12-07,430,104361.0,99
P0169,Shock Absorber,Suspension,Knorr-Bremse,Renault T,609.6,296,GlobalParts Ltd,Hamburg,10,6,2023-12-10,145,88392.0,100
P0106,Accumulator,Hydraulics,Michelin,MAN TGX,1729.28,273,GlobalParts Ltd,Prague,9,24,2023-12-14,179,309541.12,101
P0136,Battery,Electrical,Bosch,Renault T,635.98,376,Transline Distributors,Rotterdam,15,36,2023-12-14,498,316718.04,102
P0157,Coolant Hose,Cooling,Hella,Renault T,1736.51,121,Atlas Parts,Warsaw,13,24,2023-12-14,285,494905.35,103
P0101,Headlight Assembly,Lighting,Scania,Renault T,225.02,220,Transline Distributors,Milan,8,36,2023-12-14,423,95183.46,104
P0060,Piston Ring Set - Pro,Engine,Scania,Renault T,2937.06,12,CentralFleet Co,Milan,16,36,2023-12-15,94,276083.64,105
P0003,Torsion Bar,Suspension,Hella,Volvo FH,335.73,104,EuroTruck Supply,Rotterdam,4,24,2023-12-19,309,103740.57,106
P0216,Alternator,Electrical,Michelin,DAF XF,604.8,456,BlueLine Logistics,Rotterdam,15,12,2023-12-20,12,7257.6,107
P0075,Oil Pan,Engine,DAF,DAF XF,2063.34,501,Atlas Parts,Milan,18,36,2023-12-20,170,350767.8,108
P0165,Accumulator,Hydraulics,Knorr-Bremse,Renault T,867.62,149,CentralFleet Co,Hamburg,10,6,2023-12-21,473,410384.26,109
P0114,Hydraulic Filter - Eco,Filters,MAN,Scania R,37.13,172,EuroTruck Supply,Lviv,4,12,2023-12-24,179,6646.27,110
P0193,Hydraulic Filter,Filters,Continental,DAF XF,117.03,263,Continental Supply,Milan,15,12,2023-12-27,86,10064.58,111
P0005,Cylinder Head Gasket,Engine,Brembo,Renault T,898.26,284,Continental Supply,Brno,6,24,2023-12-30,107,96113.82,112
P0119,Wheel Rim - Heavy-Duty,Tires,MANN,MAN TGX,336.35,449,NordicAuto GmbH,Lviv,20,12,2024-01-08,190,63906.5,113
P0029,LED Work Light,Lighting,DAF,Scania R,237.18,151,Transline Distributors,Prague,2,24,2024-01-09,460,109102.8,114
P0140,Transmission Filter,Transmission,Valeo,Scania R,987.99,580,GlobalParts Ltd,Budapest,5,36,2024-01-15,190,187718.1,115
P0191,Muffler,Exhaust,Hella,Scania R,805.87,477,EuroTruck Supply,Milan,11,12,2024-01-15,160,128939.2,116
P0179,Wheel Rim - HD,Tires,Iveco,MAN TGX,1163.25,293,Transline Distributors,Prague,5,36,2024-01-19,456,530442.0,117
P0107,Water Pump,Engine,Volvo,Iveco Stralis,1450.68,145,GlobalParts Ltd,Warsaw,17,12,2024-01-21,214,310445.52,118
P0188,Brake Caliper,Brakes,Iveco,Mercedes Actros,1018.09,94,NordicAuto GmbH,Kyiv,2,24,2024-01-22,344,350222.96,119
P0006,Fuel Line,Fuel System,Scania,Iveco Stralis,111.4,175,NordicAuto GmbH,Kyiv,6,36,2024-01-24,138,15373.2,120
P0083,Intercooler - Eco,Cooling,Volvo,Scania R,972.85,434,CentralFleet Co,Milan,10,12,2024-01-29,436,424162.6,121
P0132,Oil Filter,Filters,ZF,DAF XF,76.26,87,NordicAuto GmbH,Brno,3,6,2024-02-04,447,34088.22,122
P0211,Stabilizer Link,Suspension,Hella,Iveco Stralis,946.59,589,PrimeTruck Traders,Brno,13,24,2024-02-07,186,176065.74,123
P0046,Engine Mount,Engine,Scania,Renault T,1462.76,169,Continental Supply,Prague,20,6,2024-02-08,303,443216.28,124
P0019,Radiator,Cooling,Iveco,Renault T,1279.1,170,Transline Distributors,Milan,16,12,2024-02-15,462,590944.2,125
P0098,Hydraulic Pump,Hydraulics,Iveco,Renault T,1601.83,308,Continental Supply,Hamburg,2,36,2024-02-16,218,349198.94,126
P0112,Headlight Assembly,Lighting,Continental,MAN TGX,396.05,587,Transline Distributors,Rotterdam,10,6,2024-02-19,10,3960.5,127
P0167,Fuel Pressure Regulator,Fuel System,Bosch,MAN TGX,647.49,102,Atlas Parts,Hamburg,18,12,2024-02-21,334,216261.66,128
P0212,Transmission Filter,Transmission,Michelin,Volvo FH,1956.77,472,PrimeTruck Traders,Milan,10,6,2024-02-23,344,673128.88,129
P0103,Oil Filter,Filters,Valeo,Renault T,23.87,61,NordicAuto GmbH,Lviv,11,6,2024-02-25,181,4320.47,130
P0030,Timing Belt - Pro,Engine,Scania,MAN TGX,1751.17,416,Atlas Parts,Kyiv,6,12,2024-02-27,12,21014.04,131
P0184,Cooling Fan - Heavy-Duty,Cooling,Volvo,Scania R,1302.5,328,PrimeTruck Traders,Gdansk,5,12,2024-02-28,153,199282.5,132
P0073,Piston Ring Set,Engine,ZF,Renault T,3571.63,120,Atlas Parts,Milan,10,24,2024-03-01,427,1525086.01,133
P0036,Fuel Pump,Fuel System,Hella,DAF XF,458.34,412,CentralFleet Co,Lviv,5,12,2024-03-06,340,155835.6,134
P0155,295/80R22.5 Tire - Standard,Tires,Volvo,Renault T,606.12,481,CentralFleet Co,Lviv,1,6,2024-03-17,68,41216.16,135
P0045,Spare Wheel,Tires,DAF,Renault T,406.17,559,PrimeTruck Traders,Milan,8,24,2024-03-22,248,100730.16,136
P0113,Inner Tube,Tires,Volvo,Mercedes Actros,757.22,370,EuroTruck Supply,Rotterdam,4,12,2024-03-22,301,227923.22,137
P0202,Cooling Fan,Cooling,MAN,Volvo FH,1194.13,80,NordicAuto GmbH,Brno,2,6,2024-03-23,118,140907.34,138
P0124,Thermostat - Eco,Cooling,Iveco,Renault T,942.33,385,Atlas Parts,Prague,6,12,2024-03-24,22,20731.26,139
P0151,Wiring Harness,Electrical,Continental,Volvo FH,851.67,304,Continental Supply,Warsaw,2,12,2024-03-26,212,180554.04,140
P0042,Torsion Bar,Suspension,Continental,Scania R,1100.56,283,NordicAuto GmbH,Milan,8,24,2024-03-26,39,42921.84,141
P0092,LED Work Light,Lighting,Scania,MAN TGX,335.14,417,CentralFleet Co,Hamburg,12,12,2024-03-30,227,76076.78,142
P0205,Separator Filter,Filters,MANN,Iveco Stralis,61.5,369,EuroTruck Supply,Warsaw,1,24,2024-03-31,184,11316.0,143
P0172,Input Shaft,Transmission,MANN,Volvo FH,1219.76,254,GlobalParts Ltd,Gdansk,13,12,2024-04-02,385,469607.6,144
P0219,Retread Tire,Tires,Continental,Volvo FH,842.72,190,Transline Distributors,Rotterdam,1,12,2024-04-05,303,255344.16,145
P0118,Radiator,Cooling,Mercedes,DAF XF,991.68,329,Continental Supply,Lviv,5,6,2024-04-06,52,51567.36,146
P0174,Fuel Line,Fuel System,Scania,Scania R,490.46,226,PrimeTruck Traders,Prague,16,12,2024-04-10,382,187355.72,147
P0047,Hydraulic Pump - Standard,Hydraulics,MANN,Renault T,1140.37,51,CentralFleet Co,Rotterdam,11,12,2024-04-10,167,190441.79,148
P0177,Transmission Filter,Transmission,Continental,MAN TGX,2503.12,56,Continental Supply,Prague,17,36,2024-04-12,288,720898.56,149
P0134,Inner Tube - Premium,Tires,Valeo,Renault T,898.57,475,Continental Supply,Prague,5,6,2024-04-13,18,16174.26,150
P0117,Retread Tire - Standard,Tires,Continental,MAN TGX,118.81,78,EuroTruck Supply,Budapest,20,36,2024-04-18,297,35286.57,151
P0146,Fog Light,Lighting,Mercedes,Mercedes Actros,331.1,75,Atlas Parts,Brno,3,36,2024-04-22,348,115222.8,152
P0087,Cooling Fan,Cooling,Iveco,Scania R,1252.49,263,Continental Supply,Gdansk,11,6,2024-04-24,493,617477.57,153
P0125,Fuel Filter,Filters,ZF,Mercedes Actros,111.13,459,PrimeTruck Traders,Lviv,8,24,2024-04-25,462,51342.06,154
P0089,Radiator,Cooling,Scania,Iveco Stralis,1021.62,598,Transline Distributors,Brno,4,12,2024-04-27,12,12259.44,155
P0129,Cooling Fan - HD,Cooling,Valeo,Volvo FH,126.75,343,Atlas Parts,Prague,2,24,2024-04-28,356,45123.0,156
P0217,Exhaust Manifold - HD,Exhaust,Brembo,Renault T,2143.08,466,PrimeTruck Traders,Lviv,16,24,2024-05-02,49,105010.92,157
P0044,Fuel Filter,Filters,Knorr-Bremse,MAN TGX,34.99,430,Transline Distributors,Budapest,1,36,2024-05-03,3,104.97,158
P0210,Hydraulic Hose Assembly,Hydraulics,Valeo,Mercedes Actros,843.28,139,CentralFleet Co,Brno,20,12,2024-05-05,160,134924.8,159
P0021,Alternator,Electrical,Volvo,Iveco Stralis,494.84,321,GlobalParts Ltd,Hamburg,19,36,2024-05-29,470,232574.8,160
P0097,Fog Light,Lighting,MAN,MAN TGX,195.74,370,NordicAuto GmbH,Budapest,4,36,2024-05-30,113,22118.62,161
P0074,DPF (cleaning unit) - Premium,Exhaust,MANN,Mercedes Actros,495.7,139,EuroTruck Supply,Gdansk,14,24,2024-06-03,136,67415.2,162
P0171,Catalytic Converter,Exhaust,Bosch,Iveco Stralis,665.79,197,Atlas Parts,Budapest,13,36,2024-06-11,167,111186.93,163
P0014,Hydraulic Hose Assembly,Hydraulics,Iveco,DAF XF,1827.32,205,CentralFleet Co,Rotterdam,12,36,2024-06-13,231,422110.92,164
P0141,Exhaust Manifold,Exhaust,Michelin,Scania R,846.8,255,EuroTruck Supply,Hamburg,6,36,2024-06-14,198,167666.4,165
P0176,295/80R22.5 Tire,Tires,Brembo,MAN TGX,924.76,207,NordicAuto GmbH,Prague,6,24,2024-06-16,226,208995.76,166
P0052,Transmission Oil Cooler - Standard,Transmission,DAF,Mercedes Actros,308.57,370,Continental Supply,Prague,14,12,2024-06-18,494,152433.58,167
P0175,Control Valve,Hydraulics,Michelin,Mercedes Actros,2199.55,223,PrimeTruck Traders,Budapest,3,36,2024-06-24,360,791838.0,168
P0180,Cabin Filter,Filters,Iveco,Mercedes Actros,59.47,552,Atlas Parts,Brno,4,12,2024-07-04,201,11953.47,169
P0095,Transmission Filter,Transmission,DAF,Renault T,620.85,151,GlobalParts Ltd,Gdansk,5,12,2024-07-07,128,79468.8,170
P0137,Stabilizer Link,Suspension,Valeo,Renault T,637.55,84,Transline Distributors,Warsaw,14,12,2024-07-12,150,95632.5,171
P0041,Parking Brake Cable - Pro,Brakes,Mercedes,Mercedes Actros,1281.72,324,Continental Supply,Budapest,17,36,2024-07-15,228,292232.16,172
P0198,Wiring Harness,Electrical,Brembo,Iveco Stralis,1037.66,32,EuroTruck Supply,Rotterdam,13,36,2024-07-19,243,252151.38,173
P0218,DPF (cleaning unit) - Eco,Exhaust,Bosch,Renault T,1292.45,351,EuroTruck Supply,Prague,8,12,2024-07-19,81,104688.45,174
P0105,Exhaust Pipe,Exhaust,Valeo,Renault T,1010.15,117,CentralFleet Co,Budapest,8,36,2024-07-28,498,503054.7,175
P0162,Catalytic Converter,Exhaust,Knorr-Bremse,Iveco Stralis,382.93,513,Continental Supply,Hamburg,5,12,2024-07-28,166,63566.38,176
P0149,Tire Pressure Sensor,Electrical,Michelin,Iveco Stralis,202.9,157,Atlas Parts,Budapest,20,24,2024-07-31,21,4260.9,177
P0094,Exhaust Manifold,Exhaust,Scania,Iveco Stralis,1082.92,21,GlobalParts Ltd,Brno,8,12,2024-08-01,105,113706.6,178
P0022,Intercooler - Premium,Cooling,Brembo,Renault T,508.3,240,Transline Distributors,Warsaw,19,12,2024-08-15,304,154523.2,179
P0033,Output Shaft Seal,Transmission,Michelin,Mercedes Actros,2076.5,339,GlobalParts Ltd,Warsaw,9,12,2024-08-17,492,1021638.0,180
P0133,Exhaust Manifold,Exhaust,Valeo,Scania R,1350.22,365,EuroTruck Supply,Brno,8,6,2024-08-18,376,507682.72,181
P0213,Exhaust Pipe,Exhaust,ZF,Scania R,1405.64,386,EuroTruck Supply,Milan,20,36,2024-08-19,205,288156.2,182
P0008,Control Valve - Standard,Hydraulics,Knorr-Bremse,Iveco Stralis,1133.71,271,Atlas Parts,Kyiv,18,24,2024-08-21,219,248282.49,183
P0091,Oil Pan,Engine,Brembo,MAN TGX,1001.69,397,Continental Supply,Brno,18,36,2024-08-24,380,380642.2,184
P0062,Input Shaft,Transmission,Mercedes,DAF XF,602.93,535,Transline Distributors,Milan,15,24,2024-08-25,219,132041.67,185
P0058,Brake Disc,Brakes,Valeo,MAN TGX,894.03,189,PrimeTruck Traders,Kyiv,16,24,2024-08-26,500,447015.0,186
P0116,Accumulator,Hydraulics,Scania,Scania R,413.24,69,Continental Supply,Milan,10,24,2024-08-28,28,11570.72,187
P0121,Tail Light,Lighting,Valeo,MAN TGX,237.27,144,BlueLine Logistics,Gdansk,13,12,2024-09-01,362,85891.74,188
P0009,Hydraulic Hose Assembly,Hydraulics,MANN,DAF XF,1214.83,48,EuroTruck Supply,Prague,6,36,2024-09-02,32,38874.56,189
P0206,Starter Motor - Pro,Electrical,Knorr-Bremse,Mercedes Actros,676.48,105,GlobalParts Ltd,Warsaw,12,6,2024-09-03,306,207002.88,190
P0084,Exhaust Manifold - Premium,Exhaust,Valeo,DAF XF,784.23,22,Transline Distributors,Gdansk,1,6,2024-09-12,381,298791.63,191
P0158,Inner Tube - Premium,Tires,Knorr-Bremse,DAF XF,90.23,341,Continental Supply,Lviv,15,12,2024-09-12,457,41235.11,192
P0163,Injector Pump,Fuel System,Valeo,Volvo FH,608.37,545,BlueLine Logistics,Lviv,12,24,2024-09-16,247,150267.39,193
